jmdict_id,kanji,reading,jlpt_level,frequency_rank,source
1459400,内容,ないよう,3,523,waller
1413660,大好き,だいすき,5,524,waller
1342050,巡る,めぐる,2,525,waller
1604300,回る,まわる,4,526,waller
1508380,並ぶ,ならぶ,5,527,waller
1334040,住む,すむ,5,528,waller
1332760,終える,おえる,3,529,waller
1344970,女の子,おんなのこ,5,530,waller
1410780,態度,たいど,3,531,waller
1375040,勢い,いきおい,3,532,waller
1157080,為,ため,4,533,waller
1552390,流石,さすが,2,534,waller
1318090,自然,しぜん,3,535,waller
1512670,勉強,べんきょう,5,536,waller
1428830,眺める,ながめる,3,537,waller
1277080,向く,むく,3,538,waller
1163340,一瞬,いっしゅん,3,539,waller
1180570,横,よこ,5,540,waller
1172660,運ぶ,はこぶ,4,541,waller
1596950,戦い,たたかい,3,542,waller
1324520,弱い,よわい,5,543,waller
1550830,離す,はなす,3,544,waller
1602360,広がる,ひろがる,3,545,waller
1254130,決して,けっして,4,546,waller
1579720,寂しい,さびしい,4,547,waller
1376600,正しい,ただしい,4,548,waller
1318720,自由,じゆう,4,549,waller
1498460,武器,ぶき,3,550,waller
1232920,距離,きょり,2,551,audit
1270990,語る,かたる,3,552,waller
1315710,持ってくる,もってくる,5,553,frequency
1184280,下さる,くださる,4,554,waller
1006810,,そっと,3,555,waller
1505070,雰囲気,ふんいき,3,556,waller
1441900,伝わる,つたわる,2,557,waller
1584690,面,つら,5,558,frequency
1448810,当たる,あたる,3,559,waller
1528490,妙,みょう,3,560,waller
1310720,死,し,3,561,audit
1220310,既に,すでに,3,562,waller
1407980,多分,たぶん,5,563,waller
1591720,協力,きょうりょく,3,564,waller
1259740,見上げる,みあげる,5,565,frequency
1206080,覚悟,かくご,3,566,waller
1327230,手に入れる,てにいれる,5,567,frequency
1559290,連れる,つれる,4,568,waller
1312060,視線,しせん,5,569,frequency
1434180,低い,ひくい,5,570,waller
1540170,友達,ともだち,5,571,waller
1534520,木,き,5,572,waller
1519290,忙しい,いそがしい,5,573,waller
1533550,面倒,めんどう,3,574,waller
1278410,広い,ひろい,5,575,waller
1544590,余裕,よゆう,3,576,waller
1285990,告げる,つげる,2,577,audit
1416170,叩く,たたく,3,578,waller
1486030,微笑む,ほほえむ,3,579,waller
1317970,自信,じしん,3,580,audit
1333560,集める,あつめる,4,581,waller
1361330,振る,ふる,3,582,waller
1157090,為さる,なさる,4,583,waller
1544090,余計,よけい,2,584,waller
1541900,誘う,さそう,3,585,waller
1597790,付き合う,つきあう,2,586,waller
1369070,人物,じんぶつ,3,587,waller
1580820,数,かず,3,588,waller
1218380,危ない,あぶない,5,589,waller
1314010,事情,じじょう,3,590,waller
1309650,指,ゆび,4,591,waller
1172590,噂,うわさ,3,592,waller
1419570,断る,ことわる,3,593,waller
1232180,巨大,きょだい,3,594,waller
1293850,最高,さいこう,3,595,waller
1477950,髪,かみ,4,596,waller
1275130,効果,こうか,3,597,waller
2160680,方がいい,ほうがいい,5,598,frequency
1326770,取り出す,とりだす,2,599,waller
1150410,愛,あい,3,600,waller
1431110,直接,ちょくせつ,3,601,waller
1497430,浮かぶ,うかぶ,2,602,waller
